what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434139070467
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1434139073835
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434139075075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139095598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139106302
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434139114771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139135973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139138185
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434139139167
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434139140224
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434139140330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139147029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139151431
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434139151446
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1434139153449
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1434139157536
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1434139158202
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434139158870
started,bundle,com.android.ide.eclipse.ndk,23.0.6.1720515,"com.android.ide.eclipse.ndk",1434139159126
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1434139163524
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434139163545
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1434139166195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1434139172173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434139176887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139178757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139182034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434139187763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1434139211593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1434139224825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434139227327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434139234191
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1434139236830
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434139237834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139240466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139253933
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1434139256181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139259179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434139271047
