what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141742507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141747702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434141750858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434141751387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434141754010
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1434141755985
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434141757275
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434141788265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141796618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141797971
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434141798930
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434141799945
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434141800064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141801721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141843927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141844931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141851874
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434141851884
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1434141854690
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1434141857690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141861961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141865357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141883474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141893628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141898000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141923941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434141930552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434141933248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434141935175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434141937044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434141937881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1434141943148
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1434141949178
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1434141955186
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1434141957127
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1434141961416
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1434141965418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434141966492
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1434141969560
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434141970361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434141993913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434142000304
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434142007191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434142012978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434142015085
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434142015950
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434142017117
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434142017214
