what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433608593799
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433608610873
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1433608622762
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1433608625164
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1433608627030
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433608654478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608657326
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1433608657491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608657512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608659562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608666662
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1433608667318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608667326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608668492
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1433608669544
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1433608679935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608681674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608690019
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1433608695764
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433608697402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608700614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608724877
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1433608734788
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1433608735231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608754669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608785800
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1433608788749
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433608788757
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1433608791306
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1433608796055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608855134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608866095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1433608875269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1433608881059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608883941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1433608896490
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1433608899017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1433608899960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608900937
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433608903889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1433608908144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608910460
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1433608910633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608910648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608913446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1433608914491
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1433608916263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433608918512
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1433608918704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608918717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608920022
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1433608922745
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433608924096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608934876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608985877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608987910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433608989882
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1433608989887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609001364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609061686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609062796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609064680
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433609064697
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433609100118
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433609102009
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1433609102147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609106244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609117256
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433609117271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609118389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433609135733
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1433609138640
