what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433706271688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706275408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706277041
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1433706277057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706278056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706303358
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433706303448
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433706310242
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1433706310335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706311921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706315534
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1433706315551
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1433706317825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1433706322874
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1433706327727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706349552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706359044
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1433706372342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706375826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433706379714
