what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434485353344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434485354562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434485471622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434485488408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434520775930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434520781442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434520786536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434520845268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434522938411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434522939263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434524872255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434524874060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434525159099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434575786614
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1434575786654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434575786888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434575836974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434575840844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656190036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656190671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656198812
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434656198836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656207622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656415601
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.J2EEPerspective",1434656418529
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1434656420511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434656438008
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1434656445617
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1434656524218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656532050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656534400
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1434656534407
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1434656536119
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1434656545613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656552821
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1434656559599
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1434656559642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656559746
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1434656559750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1434656559750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656565930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656570847
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1434656570850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1434656570850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656578244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656582625
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1434656582629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1434656582629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656587154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656591223
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1434656591226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1434656591226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656594471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434656598240
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1434656598243
