what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638121793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1436638121809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1436638121809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638128635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638191781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638194369
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1436638219414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638222710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1436638222715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1436638222715
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1436638222943
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1436638224143
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1436638224144
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1436638224184
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1436638224185
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1436638224218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638235512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638251911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638254742
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1436638259748
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1436638259780
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1436638259885
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1436638260413
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1436638260437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638260475
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1436638260478
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1436638260478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638264339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638265631
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.cleanAction",1436638265634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638265910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638266003
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1436638269073
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1436638278882
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1436638278950
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1436638279031
started,bundle,com.android.ide.eclipse.ddms,23.0.6.1720515,"com.android.ide.eclipse.ddms",1436638279191
opened,view,com.android.ide.eclipse.ddms,23.0.6.1720515,"com.android.ide.eclipse.ddms.views.LogCatView",1436638279322
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1436638279412
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1436638279417
started,bundle,com.android.ide.eclipse.traceview,23.0.6.1720515,"com.android.ide.eclipse.traceview",1436638283598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638288522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638401112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638408984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638580391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638581343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638588192
activated,editor,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.editors.CommonXmlEditor",1436638588217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638591535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638642620
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1436638642837
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1436638643008
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1436638649664
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1436638649750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638651311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638677102
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1436638678202
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1436638679076
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1436638679172
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1436638679709
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1436638682405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638683807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436638692909
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1436638692974
