what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1434660275821
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1434660275821
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1434660275821
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1434660275822
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1434660275823
os,sysinfo,,,"win32",1434660275828
arch,sysinfo,,,"x86_64",1434660275828
ws,sysinfo,,,"win32",1434660275828
locale,sysinfo,,,"en_US",1434660275828
processors,sysinfo,,,"8",1434660275828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1434660275828
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1434660275828
java.specification.name,sysinfo,,,"Java Platform API Specification",1434660275828
java.specification.vendor,sysinfo,,,"Oracle Corporation",1434660275828
java.specification.version,sysinfo,,,"1.8",1434660275828
java.vendor,sysinfo,,,"Oracle Corporation",1434660275828
java.version,sysinfo,,,"1.8.0_45",1434660275828
java.vm.info,sysinfo,,,"mixed mode",1434660275828
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1434660275828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1434660275828
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1434660275828
java.vm.specification.version,sysinfo,,,"1.8",1434660275828
java.vm.vendor,sysinfo,,,"Oracle Corporation",1434660275828
java.vm.version,sysinfo,,,"25.45-b02",1434660275828
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1434660275988
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1434660276075
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1434660276142
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1434660276198
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1434660276338
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1434660276377
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1434660276377
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1434660276411
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1434660276487
