what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434312328210
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1434312340493
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1434312348331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312348340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312349413
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1434312354123
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1434312359887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312359898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312361378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312362268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312479477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1434312488973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1434312497901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1434312506370
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1434312508066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1434312513739
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1434312516038
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1434312517097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1434312519434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1434312520455
error,log,,,"An internal error occurred during: ""Running Android Lint"".",1434312520523
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312520535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312521660
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1434312523337
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434312524228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312526114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312537549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312539426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312558534
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434312578160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312583002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312584859
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434312585500
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434312587136
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434312587240
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434312589688
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434312592410
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1434312594601
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1434312595550
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434312595648
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434312597376
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Resume",1434312601640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312602874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1434312604476
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1434312604484
